State, UserThread8247, User Thread State, 2388.289046, 2388.323284, 0.034238, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2388.326466, 2388.328057, 0.001591, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2388.336929, 2388.337922, 0.000993, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2388.338422, 2388.339256, 0.000834, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2388.792534, 2390.111036, 1.318502, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.112939, 2390.135567, 0.022628, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.138802, 2390.149163, 0.010361, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.149769, 2390.161460, 0.011691, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.162010, 2390.172715, 0.010705, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.173242, 2390.183309, 0.010067, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.183875, 2390.193919, 0.010044, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.195697, 2390.205987, 0.010290, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.206506, 2390.218815, 0.012309, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.220679, 2390.232769, 0.012090, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.233450, 2390.244915, 0.011465, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.245540, 2390.256823, 0.011283, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.259020, 2390.287820, 0.028800, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.288416, 2390.841100, 0.552684, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.841777, 2390.860365, 0.018588, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.864056, 2390.900985, 0.036929, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.902067, 2390.915049, 0.012982, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.917511, 2390.938173, 0.020662, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.939292, 2390.950645, 0.011353, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.951416, 2390.962515, 0.011099, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.964922, 2390.975060, 0.010138, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.975791, 2390.989991, 0.014200, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2390.990793, 2391.022978, 0.032185, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.025913, 2391.051446, 0.025533, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.052573, 2391.071606, 0.019033, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.075672, 2391.089414, 0.013742, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.090885, 2391.101002, 0.010117, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.102122, 2391.109892, 0.007770, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.111762, 2391.119086, 0.007324, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.119611, 2391.126936, 0.007325, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.127410, 2391.134850, 0.007440, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.136578, 2391.143913, 0.007335, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.144410, 2391.151710, 0.007300, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.153363, 2391.160830, 0.007467, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.161323, 2391.168572, 0.007249, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.170996, 2391.178594, 0.007598, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.179078, 2391.186475, 0.007397, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.186946, 2391.194416, 0.007470, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.196159, 2391.203691, 0.007532, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.204223, 2391.211744, 0.007521, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.212219, 2391.219564, 0.007345, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.221261, 2391.228695, 0.007434, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.229233, 2391.236733, 0.007500, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.239365, 2391.246844, 0.007479, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.247318, 2391.254791, 0.007473, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.255266, 2391.262817, 0.007551, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.264557, 2391.272081, 0.007524, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.272540, 2391.279963, 0.007423, 0.000000, Submittings task
State, UserThread8247, User Thread State, 2391.282332, 6727.925105, 4336.642773, 0.000000, Waiting all tasks
State, UserThread8247, User Thread State, 6727.950358, 6727.955318, 0.004960, 0.000000, Submittings task
State, UserThread8247, User Thread State, 6727.955494, 6727.956664, 0.001170, 0.000000, Submittings task
State, UserThread8247, User Thread State, 6727.957845, 6727.958812, 0.000967, 0.000000, Submittings task
State, UserThread8247, User Thread State, 6727.966972, 6727.967830, 0.000858, 0.000000, Submittings task
State, UserThread8247, User Thread State, 6727.968555, 6727.968904, 0.000349, 0.000000, Waiting task
State, UserThread8247, User Thread State, 6727.971460, 6727.972780, 0.001320, 0.000000, Submittings task
State, UserThread8247, User Thread State, 6728.014989, 6728.015850, 0.000861, 0.000000, Submittings task
