State, UserThread77729, User Thread State, 2670.744380, 2670.797200, 0.052820, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.803497, 2670.806635, 0.003138, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.845610, 2670.847834, 0.002224, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.848762, 2670.850108, 0.001346, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.877625, 2670.879507, 0.001882, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.880027, 2670.881840, 0.001813, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.907440, 2670.908996, 0.001556, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.909544, 2670.910776, 0.001232, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.934011, 2670.935652, 0.001641, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.936136, 2670.937391, 0.001255, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.961284, 2670.962817, 0.001533, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2670.963322, 2670.964654, 0.001332, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.005493, 2671.007396, 0.001903, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.007978, 2671.009428, 0.001450, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.042579, 2671.044183, 0.001604, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.044730, 2671.046011, 0.001281, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.078452, 2671.080120, 0.001668, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.080705, 2671.082031, 0.001326, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.114786, 2671.117162, 0.002376, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.117699, 2671.119185, 0.001486, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.165650, 2671.167773, 0.002123, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.168370, 2671.169809, 0.001439, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.202592, 2671.204375, 0.001783, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.204877, 2671.206172, 0.001295, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.239565, 2671.241162, 0.001597, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.241718, 2671.243213, 0.001495, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.277556, 2671.279160, 0.001604, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.279683, 2671.280952, 0.001269, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.317744, 2671.319453, 0.001709, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.319977, 2671.321305, 0.001328, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.356836, 2671.358334, 0.001498, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.358854, 2671.361293, 0.002439, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.393273, 2671.394828, 0.001555, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.395432, 2671.396813, 0.001381, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.433046, 2671.435057, 0.002011, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.435687, 2671.436988, 0.001301, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.472341, 2671.474057, 0.001716, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.474644, 2671.476491, 0.001847, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.511965, 2671.513839, 0.001874, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.514377, 2671.515911, 0.001534, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.551343, 2671.553466, 0.002123, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.553983, 2671.555787, 0.001804, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.587699, 2671.589505, 0.001806, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.590107, 2671.591432, 0.001325, 0.000000, Submitting task
State, UserThread77729, User Thread State, 2671.640542, 2671.642980, 0.002438, 0.000000, Submitting task
