State, UserThread77349, User Thread State, 2385.939856, 2385.982182, 0.042326, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2385.987960, 2385.990971, 0.003011, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.038247, 2386.040635, 0.002388, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.041357, 2386.043381, 0.002024, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.081619, 2386.083863, 0.002244, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.084352, 2386.086463, 0.002111, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.121593, 2386.123135, 0.001542, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.123586, 2386.125173, 0.001587, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.157435, 2386.159054, 0.001619, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.159736, 2386.161402, 0.001666, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.201440, 2386.203135, 0.001695, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.204143, 2386.205924, 0.001781, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.240679, 2386.242713, 0.002034, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.243204, 2386.245044, 0.001840, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.277582, 2386.279109, 0.001527, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.279613, 2386.281062, 0.001449, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.314911, 2386.316538, 0.001627, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.317054, 2386.318720, 0.001666, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.362323, 2386.364048, 0.001725, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.364682, 2386.366351, 0.001669, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.399523, 2386.401078, 0.001555, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.401575, 2386.403298, 0.001723, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.437120, 2386.438779, 0.001659, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.439301, 2386.441254, 0.001953, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.473266, 2386.474851, 0.001585, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.475364, 2386.477122, 0.001758, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.510956, 2386.512516, 0.001560, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.512986, 2386.514708, 0.001722, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.549378, 2386.551079, 0.001701, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.551570, 2386.553334, 0.001764, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.587928, 2386.589906, 0.001978, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.590420, 2386.592020, 0.001600, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.624981, 2386.626524, 0.001543, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.626994, 2386.628855, 0.001861, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.678183, 2386.680002, 0.001819, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.680596, 2386.682380, 0.001784, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.717422, 2386.719639, 0.002217, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.720193, 2386.721720, 0.001527, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.755142, 2386.756650, 0.001508, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.757354, 2386.759044, 0.001690, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.793775, 2386.795346, 0.001571, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.795863, 2386.797790, 0.001927, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.831749, 2386.833614, 0.001865, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.834101, 2386.835577, 0.001476, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.870688, 2386.872227, 0.001539, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.872721, 2386.874435, 0.001714, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.908413, 2386.909881, 0.001468, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.910388, 2386.912207, 0.001819, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.947389, 2386.948984, 0.001595, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.949508, 2386.951357, 0.001849, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.988783, 2386.990408, 0.001625, 0.000000, Submitting task
State, UserThread77349, User Thread State, 2386.990896, 2386.992397, 0.001501, 0.000000, Submitting task
