State, UserThread77499, User Thread State, 2673.422698, 2673.472318, 0.049620, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.478367, 2673.481091, 0.002724, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.520470, 2673.522686, 0.002216, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.523506, 2673.524811, 0.001305, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.552213, 2673.554151, 0.001938, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.554721, 2673.556033, 0.001312, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.582043, 2673.583655, 0.001612, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.584156, 2673.585427, 0.001271, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.611481, 2673.613047, 0.001566, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.613560, 2673.614801, 0.001241, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.638318, 2673.639840, 0.001522, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.640306, 2673.641562, 0.001256, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.678785, 2673.680613, 0.001828, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.681190, 2673.682619, 0.001429, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.717892, 2673.719602, 0.001710, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.720088, 2673.721986, 0.001898, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.764022, 2673.765959, 0.001937, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.766537, 2673.768232, 0.001695, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.802107, 2673.803902, 0.001795, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.804474, 2673.805834, 0.001360, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.842987, 2673.844830, 0.001843, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.845404, 2673.846693, 0.001289, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.879961, 2673.881743, 0.001782, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.882239, 2673.883824, 0.001585, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.922453, 2673.924656, 0.002203, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.925214, 2673.926727, 0.001513, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.960685, 2673.962530, 0.001845, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.963066, 2673.964373, 0.001307, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2673.998557, 2674.000345, 0.001788, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.000906, 2674.002219, 0.001313, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.037829, 2674.039660, 0.001831, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.040186, 2674.041702, 0.001516, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.080692, 2674.082555, 0.001863, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.083087, 2674.084473, 0.001386, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.121218, 2674.122995, 0.001777, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.123552, 2674.124851, 0.001299, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.160522, 2674.162411, 0.001889, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.162958, 2674.164614, 0.001656, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.197867, 2674.199675, 0.001808, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.200243, 2674.201665, 0.001422, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.241082, 2674.242683, 0.001601, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.243252, 2674.244665, 0.001413, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.288797, 2674.290783, 0.001986, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.291346, 2674.292901, 0.001555, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.325919, 2674.327581, 0.001662, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.328062, 2674.329349, 0.001287, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.363277, 2674.364955, 0.001678, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.365464, 2674.366732, 0.001268, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.405515, 2674.407278, 0.001763, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.407857, 2674.409397, 0.001540, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.441752, 2674.443353, 0.001601, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.443862, 2674.445717, 0.001855, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.480940, 2674.482520, 0.001580, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.483012, 2674.484308, 0.001296, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.517529, 2674.519319, 0.001790, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.519879, 2674.521140, 0.001261, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.558055, 2674.559815, 0.001760, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.560373, 2674.562008, 0.001635, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.596893, 2674.598553, 0.001660, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.599120, 2674.600405, 0.001285, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.633803, 2674.635866, 0.002063, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.636487, 2674.637920, 0.001433, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.671684, 2674.673317, 0.001633, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.673821, 2674.675105, 0.001284, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.713252, 2674.714964, 0.001712, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.715549, 2674.717029, 0.001480, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.752088, 2674.753732, 0.001644, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.754257, 2674.755477, 0.001220, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.791206, 2674.792898, 0.001692, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.793447, 2674.794702, 0.001255, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.797462, 2674.799308, 0.001846, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2674.799771, 2674.801007, 0.001236, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2675.268044, 2676.484364, 1.216320, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.487918, 2676.536156, 0.048238, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.540461, 2676.570951, 0.030490, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.572465, 2676.601593, 0.029128, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.602751, 2676.645648, 0.042897, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.648931, 2676.691171, 0.042240, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.692301, 2676.727423, 0.035122, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.730718, 2676.764501, 0.033783, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.765612, 2676.801296, 0.035684, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.802260, 2676.843190, 0.040930, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.846476, 2676.888557, 0.042081, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.889626, 2676.916698, 0.027072, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.919860, 2676.954825, 0.034965, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.955828, 2676.981555, 0.025727, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2676.987796, 2677.013356, 0.025560, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.014234, 2677.047953, 0.033719, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.048989, 2677.077621, 0.028632, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.080554, 2677.109607, 0.029053, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.110509, 2677.143514, 0.033005, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.146249, 2677.184127, 0.037878, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.185076, 2677.219814, 0.034738, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.220792, 2677.246400, 0.025608, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.249206, 2677.282049, 0.032843, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.282909, 2677.313943, 0.031034, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.316664, 2677.340535, 0.023871, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.341517, 2677.374670, 0.033153, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.384597, 2677.414351, 0.029754, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.415431, 2677.448669, 0.033238, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.449470, 2677.478324, 0.028854, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.479157, 2677.504994, 0.025837, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.508131, 2677.530724, 0.022593, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.531366, 2677.552975, 0.021609, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.556466, 2677.578212, 0.021746, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.578917, 2677.601631, 0.022714, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.602258, 2677.623852, 0.021594, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.625966, 2677.647249, 0.021283, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.647922, 2677.669777, 0.021855, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.673147, 2677.694787, 0.021640, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.695369, 2677.717849, 0.022480, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.718453, 2677.739810, 0.021357, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.741749, 2677.763084, 0.021335, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.763724, 2677.784860, 0.021136, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.787330, 2677.808729, 0.021399, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.809374, 2677.830451, 0.021077, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.832445, 2677.854717, 0.022272, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.857187, 2677.878699, 0.021512, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.879279, 2677.900157, 0.020878, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.902185, 2677.923476, 0.021291, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.924090, 2677.945864, 0.021774, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.946778, 2677.971181, 0.024403, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.972174, 2677.994811, 0.022637, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2677.995560, 2678.018368, 0.022808, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.019077, 2678.040815, 0.021738, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.042943, 2678.064608, 0.021665, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.088899, 2678.115604, 0.026705, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.116435, 2678.137855, 0.021420, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.140340, 2678.161603, 0.021263, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.162300, 2678.183232, 0.020932, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.185705, 2678.206966, 0.021261, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.207567, 2678.228552, 0.020985, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.231066, 2678.252190, 0.021124, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.252838, 2678.273975, 0.021137, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.276373, 2678.297432, 0.021059, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.297982, 2678.318918, 0.020936, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.321253, 2678.342825, 0.021572, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.343519, 2678.367062, 0.023543, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.367651, 2678.388991, 0.021340, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.391469, 2678.413048, 0.021579, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.413830, 2678.435190, 0.021360, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.437761, 2678.459029, 0.021268, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.459722, 2678.481373, 0.021651, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.487249, 2678.508871, 0.021622, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.509698, 2678.530948, 0.021250, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.533590, 2678.554879, 0.021289, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.555847, 2678.576438, 0.020591, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.578388, 2678.599706, 0.021318, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.600301, 2678.623417, 0.023116, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.623994, 2678.645319, 0.021325, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.645883, 2678.668456, 0.022573, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.669080, 2678.690647, 0.021567, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.692737, 2678.714047, 0.021310, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.714646, 2678.735598, 0.020952, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.737651, 2678.758952, 0.021301, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.759638, 2678.780644, 0.021006, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.782794, 2678.803932, 0.021138, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.804496, 2678.825532, 0.021036, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.828733, 2678.852266, 0.023533, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.852837, 2678.875243, 0.022406, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.875987, 2678.897547, 0.021560, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.898273, 2678.922631, 0.024358, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.923229, 2678.945112, 0.021883, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.947817, 2678.969288, 0.021471, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.969899, 2678.990920, 0.021021, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2678.992866, 2679.013963, 0.021097, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.014573, 2679.035444, 0.020871, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.037386, 2679.058579, 0.021193, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.059188, 2679.080172, 0.020984, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.082238, 2679.103287, 0.021049, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.103892, 2679.132867, 0.028975, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.135475, 2679.157974, 0.022499, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.158678, 2679.181489, 0.022811, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.182075, 2679.203420, 0.021345, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.206147, 2679.227621, 0.021474, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.228333, 2679.249599, 0.021266, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.251662, 2679.273163, 0.021501, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.273801, 2679.294778, 0.020977, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.296780, 2679.318177, 0.021397, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.318775, 2679.339845, 0.021070, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.341893, 2679.363333, 0.021440, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.363940, 2679.384981, 0.021041, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.387036, 2679.408233, 0.021197, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.408825, 2679.431977, 0.023152, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2679.432773, 2797.828404, 118.395631, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2797.831242, 2797.869844, 0.038602, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2797.870948, 2797.894565, 0.023617, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2797.903745, 2797.926510, 0.022765, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2797.927382, 2797.948836, 0.021454, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2797.957847, 2797.980924, 0.023077, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2797.981730, 2798.003377, 0.021647, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.012496, 2798.035115, 0.022619, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.035753, 2798.057337, 0.021584, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.066885, 2798.089467, 0.022582, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.090119, 2798.120288, 0.030169, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.121108, 2798.143754, 0.022646, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.144328, 2798.174093, 0.029765, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.174892, 2798.196979, 0.022087, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.205710, 2798.228434, 0.022724, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.229225, 2798.250893, 0.021668, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.265280, 2798.288663, 0.023383, 0.000000, Submitting task
State, UserThread77499, User Thread State, 2798.289451, 2798.311350, 0.021899, 0.000000, Submitting task
