State, UserThread8362, User Thread State, 6717.523421, 6717.524168, 0.000747, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.549382, 6717.550123, 0.000741, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.552044, 6717.552792, 0.000748, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.578005, 6717.578964, 0.000959, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.582179, 6717.583005, 0.000826, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.607798, 6717.608692, 0.000894, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.612487, 6717.613693, 0.001206, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.614634, 6717.615376, 0.000742, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.618322, 6717.619149, 0.000827, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.619722, 6717.620394, 0.000672, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.622101, 6717.622844, 0.000743, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.623361, 6717.624025, 0.000664, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.625364, 6717.626181, 0.000817, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.626986, 6717.627654, 0.000668, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.629311, 6717.630124, 0.000813, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.630789, 6717.631457, 0.000668, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.632828, 6717.633593, 0.000765, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.634101, 6717.634757, 0.000656, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.636356, 6717.637176, 0.000820, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.637756, 6717.638419, 0.000663, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.639837, 6717.640654, 0.000817, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.641240, 6717.642113, 0.000873, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.643636, 6717.644621, 0.000985, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.645391, 6717.646125, 0.000734, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.647992, 6717.648878, 0.000886, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.649454, 6717.650125, 0.000671, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.651749, 6717.652559, 0.000810, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.653161, 6717.653830, 0.000669, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.655137, 6717.655877, 0.000740, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.656386, 6717.657051, 0.000665, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.658587, 6717.659396, 0.000809, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.659929, 6717.660585, 0.000656, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.661841, 6717.663541, 0.001700, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.664567, 6717.665227, 0.000660, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.666559, 6717.667292, 0.000733, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.667799, 6717.668461, 0.000662, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.669780, 6717.670516, 0.000736, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.671038, 6717.671697, 0.000659, 0.000000, Submittings task
