BENCH;backend;size;block_size;iterations;thread;gpus;time
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;2;7.24624800
nbody;PARALLEL_BACK_STARPU;98304;2048;5;27;1;23.19192900
nbody;PARALLEL_BACK_STARPU;131072;2048;5;25;2;30.73316800
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;25;3;7.95256090
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;2;16.73219400
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;4;6.07593012
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;26;2;12.93960381
nbody;PARALLEL_BACK_STARPU;114688;2048;5;27;1;25.96375400
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;1;22.73440100
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;1;22.86644500
nbody;PARALLEL_BACK_STARPU;81920;2048;5;23;2;9.51006800
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;1;7.25103700
nbody;PARALLEL_BACK_STARPU;81920;2048;5;22;2;9.70945600
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;1;22.94847500
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;2;31.09671000
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;26;2;8.43042755
nbody;PARALLEL_BACK_STARPU;98304;2048;5;23;4;11.11642200
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;26;1;10.50835133
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;26;1;8.40343380
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;2;31.28661600
nbody;PARALLEL_BACK_STARPU;131072;2048;5;22;3;25.85572700
nbody;PARALLEL_BACK_STARPU;81920;2048;5;22;3;9.77385500
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;26;2;9.08688164
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;25;2;6.22465992
nbody;PARALLEL_BACK_STARPU;81920;2048;5;23;2;9.42773200
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;2;17.94736600
nbody;PARALLEL_BACK_STARPU;131072;2048;5;27;1;31.06320900
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;3;11.91525936
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;3;5.13938618
nbody;PARALLEL_BACK_STARPU;65536;2048;5;26;2;7.49829800
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;3;5.43140221
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;4;5.17019701
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;26;2;12.41388893
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;2;7.27904700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;3;5.80575800
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;3;24.05003200
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;26;1;5.79193878
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;2;11.42277431
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;1;8.56162262
