State, UserThread27682, User Thread State, 2691.188493, 2691.189342, 0.000849, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.189693, 2691.190370, 0.000677, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.193263, 2691.194059, 0.000796, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.194391, 2691.195061, 0.000670, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2691.577425, 2692.997798, 1.420373, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.004532, 2693.085299, 0.080767, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.087396, 2693.123402, 0.036006, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.141100, 2693.170819, 0.029719, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.171605, 2693.198385, 0.026780, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.200741, 2693.242136, 0.041395, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.242833, 2693.261242, 0.018409, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.263150, 2693.289813, 0.026663, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.290381, 2693.315483, 0.025102, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.317336, 2693.338653, 0.021317, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.339238, 2693.356601, 0.017363, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.358807, 2693.377764, 0.018957, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.379662, 2693.398303, 0.018641, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.398885, 2693.413167, 0.014282, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.415586, 2693.429311, 0.013725, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.429886, 2693.445934, 0.016048, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.446485, 2693.459726, 0.013241, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.460232, 2693.474469, 0.014237, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.474951, 2693.488348, 0.013397, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.488905, 2693.501795, 0.012890, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.502319, 2693.515171, 0.012852, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.517596, 2693.536767, 0.019171, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.537443, 2693.555591, 0.018148, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.557806, 2693.571385, 0.013579, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.571960, 2693.585392, 0.013432, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.587329, 2693.601648, 0.014319, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.602326, 2693.615356, 0.013030, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.617324, 2693.634501, 0.017177, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.635071, 2693.651937, 0.016866, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.654036, 2693.667400, 0.013364, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.667958, 2693.681677, 0.013719, 0.000000, Submittings task
