hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;3;5.22044706
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;26;1;16.34408951
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;10;3;5.44946300
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;0;1;14.02393600
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;25;3;47.28371600
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;0;2;11.76924200
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;12;2;11.20338000
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;4;6.08945608
nbody;PARALLEL_BACK_STARPU;65536;2048;5;27;1;7.24137200
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;10;3;8.26253500
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;10;3;9.07102700
nbody;PARALLEL_BACK_OPENMP;114688;2048;5;28;0;24.35447600
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;28;0;18.68876600
nbody;PARALLEL_BACK_STARPU;65536;2048;5;28;0;14.46482400
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;12;2;10.69997500
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;28;0;13.23074700
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;10;4;5.57252000
nbody;PARALLEL_BACK_STARPU;81920;2048;5;0;1;42.43194200
nbody;PARALLEL_BACK_STARPU;81920;2048;5;27;1;14.03384000
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;0;1;23.76081400
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;27;1;9.51029400
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;25;3;32.13794100
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;12;2;7.59457800
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;25;3;50.13456000
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;3;7.40603018
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;25;3;7.67774582
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;4;11.71789455
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;28;0;30.05294228
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;4;17.29500600
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;3;5.16443682
cdf_solver;PARALLEL_BACK_STARPU;131072;4096;100;10;4;3.99548800
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;27;1;17.53236400
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;23;4;11.70651817
nbody;PARALLEL_BACK_STARPU;114688;2048;5;0;3;29.47924600
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;0;1;23.70607700
nbody;PARALLEL_BACK_STARPU;131072;2048;5;0;3;39.56197200
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;3;16.85336600
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;25;2;10.07213020
cdf_solver;PARALLEL_BACK_STARPU;131072;4096;100;27;1;10.67360500
hotspot;PARALLEL_BACK_OPENMP;12288;1024;5;28;0;13.17293358
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;12;2;9.53920900
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;0;1;20.84213300
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;0;1;20.87415900
cdf_solver;PARALLEL_BACK_STARPU;131072;4096;100;10;3;4.50999500
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;26;1;13.22980690
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;0;2;6.85591602
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;0;3;6.13962700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;3;5.33201122
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;0;1;23.29906300
nbody;PARALLEL_BACK_STARPU;65536;2048;5;0;3;9.59484300
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;10;4;4.86987800
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;0;3;8.91652700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;0;4;4.33806086
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;26;2;7.15002584
nbody;PARALLEL_BACK_OPENMP;131072;2048;5;28;0;41.71736900
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;10;3;6.59230500
nbody;PARALLEL_BACK_STARPU;131072;2048;5;0;1;110.90886300
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;12;2;10.80383700
cdf_solver;PARALLEL_BACK_OPENMP;114688;2048;100;28;0;11.78851500
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;24;4;55.23610600
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;27;1;10.61724600
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;27;1;10.76413400
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;4;6.83614700
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;25;2;7.17046499
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;25;3;11.30389214
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;0;2;5.03403187
nbody;PARALLEL_BACK_STARPU;114688;2048;5;0;3;30.16119500
nbody;PARALLEL_BACK_STARPU;131072;2048;5;0;1;114.40146600
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;26;2;44.87775700
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;10;3;5.65757300
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;2;9.02694416
nbody;PARALLEL_BACK_STARPU;98304;2048;5;27;1;21.67993600
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;10;4;5.53418500
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;4;18.52321100
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;10;3;6.63697400
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;0;2;5.01861477
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;0;4;5.19598100
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;4;7.22523880
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;4;8.58602810
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;4;12.95013714
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;28;0;30.04487228
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;0;1;16.26088100
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;0;2;11.22680855
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;10;4;7.68807400
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;27;1;6.02340412
nbody;PARALLEL_BACK_STARPU;65536;2048;5;0;4;6.78605800
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;10;3;8.04308000
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;4;13.10969900
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;0;4;4.47289705
nbody;PARALLEL_BACK_STARPU;114688;2048;5;0;3;30.45533600
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;25;3;55.86551000
nbody;PARALLEL_BACK_STARPU;114688;2048;5;26;2;24.08971900
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;27;1;8.58497524
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;0;4;9.41606712
nbody;PARALLEL_BACK_STARPU;81920;2048;5;27;1;13.57999100
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;26;1;13.35940838
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;28;0;18.70890000
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;25;3;36.97854600
cdf_solver;PARALLEL_BACK_OPENMP;98304;2048;100;28;0;11.63044900
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;4;7.33916500
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;26;1;8.92446200
nbody;PARALLEL_BACK_STARPU;131072;2048;5;25;3;23.11332500
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;26;1;5.95988798
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;26;2;12.08340359
nbody;PARALLEL_BACK_STARPU;114688;2048;5;0;3;30.56887600
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;28;0;15.14424324
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;0;2;9.43939600
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;26;2;12.58179283
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;4;18.66863000
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;3;9.52334881
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;0;3;7.12799300
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;3;16.72167300
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;0;3;7.19852100
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;3;11.69989204
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;12;2;10.72837300
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;0;3;11.59778881
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;0;4;8.30547000
nbody;PARALLEL_BACK_STARPU;98304;2048;5;23;4;11.26657300
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;27;1;11.99095700
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;25;3;50.23235200
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;26;2;46.11414800
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;3;5.82684088
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;27;1;13.23184490
nbody;PARALLEL_BACK_STARPU;114688;2048;5;26;2;23.64127600
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;26;1;8.44402885
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;2;11.90940285
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;0;2;13.24981900
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;26;1;11.07202053
nbody;PARALLEL_BACK_STARPU;131072;2048;5;0;4;29.32561300
hotspot;PARALLEL_BACK_OPENMP;18432;1024;5;28;0;29.63732910
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;0;3;4.15499592
nbody;PARALLEL_BACK_STARPU;81920;2048;5;27;1;13.48533900
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;2;4.72663021
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;4;4.73031092
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;4;4.54291391
cdf_solver;PARALLEL_BACK_OPENMP;147456;2048;100;28;0;17.41330500
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;10;4;7.65838600
nbody;PARALLEL_BACK_OPENMP;81920;2048;5;28;0;17.39933000
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;0;2;8.09475300
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;25;2;7.53017282
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;10;4;5.54822000
