BENCH;backend;size;block_size;iterations;thread;gpus;time
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;18;2;9.55324300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;2;8.67991638
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;4;1;15.36851900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;0;107.27288055
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;4;11.57973300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;18;3;7.88288300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;3;10.22728100
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;12;2;8.40647900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;0;80.90807343
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;0;4;6.65574500
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;28;1;33.88573900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;1;10.57493496
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;24;4;7.22019577
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;3;13.07071877
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;3;13.76808900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;22;3;8.47622967
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;1;13.30891800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;4;6.77979279
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;1;16.70072000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;14;2;21.92285100
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;2;8.65854359
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;3;13.77725900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;1;22.00384900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;24;2;15.54403900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;3;21.93839100
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;8;1;13.95260200
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;10;1;13.69821500
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;20;2;19.20473900
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;16;4;7.82932000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;24;1;11.06123638
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;28;2;22.04451000
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;10;3;7.43931300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;1;11.30026913
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;1;17.29980850
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;0;18.34451400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;1;13.31316471
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;14;4;11.04629600
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;4;3;7.63101500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;24;0;27.88982773
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;14;2;21.92953300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;0;2;10.93130600
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;28;3;72.24905900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;20;1;21.64640000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;2;24.47448400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;4;13.44146156
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;3;19.09905000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;4;14.50902081
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;10;4;6.58011818
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;3;10.96041100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;3;11.00027100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;10;2;22.41361800
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;2;10.25969800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;3;7.33124495
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;2;8.58310986
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;4;6.51624680
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;2;8.70574379
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;0;21.71326100
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;0;37.36140060
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;3;7.05645800
