cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;26;4;91.72682700
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;3;6.66562796
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;4;13.16066800
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;20;4;7.66978693
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;18;2;10.52542100
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;18;1;12.83043000
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;22;4;6.89109300
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;0;1;14.66178131
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;20;1;11.28508663
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;4;10.89162500
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;3;6.62454796
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;18;3;7.48273200
nbody;PARALLEL_BACK_STARPU;98304;2048;5;20;2;19.49650300
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;26;1;10.52719116
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;0;2;8.88630390
nbody;PARALLEL_BACK_STARPU;98304;2048;5;20;2;20.45170400
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;28;4;116.19360600
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;26;4;79.90512200
nbody;PARALLEL_BACK_STARPU;98304;2048;5;28;2;22.03558300
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;0;3;7.06533718
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;18;3;7.53093700
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;4;6.57133818
nbody;PARALLEL_BACK_STARPU;98304;2048;5;0;3;20.90322600
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;22;2;10.03252300
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;18;1;12.93752600
nbody;PARALLEL_BACK_STARPU;98304;2048;5;20;1;21.93954100
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;4;7.04718399
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;20;1;11.43068504
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;2;18.68007100
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;24;3;7.84914000
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;0;2;10.94917600
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;2;7.96535206
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;3;11.17404400
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;4;7.11377192
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;18;2;8.07061386
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;20;1;11.23990440
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;0;1;18.77174900
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;0;3;7.46187019
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;1;22.14758200
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;20;0;32.61149597
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;20;1;12.59131700
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;3;13.55871300
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;18;0;23.76734400
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;0;21.72117100
nbody;PARALLEL_BACK_STARPU;98304;2048;5;28;0;21.71850100
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;20;2;8.12771034
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;3;17.51383900
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;28;2;15.01684761
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;18;4;6.70928700
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;28;2;42.08878800
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;2;7.75780010
nbody;PARALLEL_BACK_STARPU;98304;2048;5;18;1;21.66694800
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;24;1;12.41504900
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;0;30.04578972
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;22;1;12.59485600
nbody;PARALLEL_BACK_STARPU;98304;2048;5;28;4;21.97476600
cdf_solver;PARALLEL_BACK_STARPU;131072;2048;100;24;1;12.28841200
